ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
1.03E+13,4,QN,412,QUEENS COMMUNITY DISTRICT 12,12672,1,PS 15 JACKIE ROBINSON,121-15 Lucas St,11413,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,459,1,Day Care or Head Start Center Capacity,Children,,459,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,376,376,27,29,113,3532,4126720001,1051771,189313,L,40.68612742,-73.75724144,1,rooftop,121-015,Lucas St,Springfield Gardens,NY,Queens County,11413
1.03E+13,4,QN,411,QUEENS COMMUNITY DISTRICT 11,7753,1,PS 205 ALEXANDER GRAHAM BELL,75-25 Bell Blvd,11364,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,310,1,Day Care or Head Start Center Capacity,Children,,310,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1291.03,129103,23,26,111,2140,4077530001,1051762,208250,L,40.73775582,-73.7566136,1,rooftop,75-025,Bell Blvd,Oakland Gardens,NY,Queens County,11364
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,10582,16,BELLAIRE SCHOOL (THE),207-11 89 Ave,11427,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,972,1,Day Care or Head Start Center Capacity,Children,,972,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,492,492,23,29,105,2820,4105820016,1051447,201989,L,40.7205516,-73.75716834,1,rooftop,207-011,89th Ave,Queens Village,NY,Queens County,11427
1.03E+13,4,QN,411,QUEENS COMMUNITY DISTRICT 11,7619,1,PS 46 ALLEY POND,64-45 218 St,11364,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,573,1,Day Care or Head Start Center Capacity,Children,,573,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1367,1367,23,26,111,2140,4076190001,1051294,211064,L,40.74529787,-73.75816673,1,rooftop,64-045,218th St,Oakland Gardens,NY,Queens County,11364
1.03E+13,4,QN,414,QUEENS COMMUNITY DISTRICT 14,15772,31,WAVE PREPARATORY ELEMENTARY SCHOOL,535 Briar Pl,11691,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,371,1,Day Care or Head Start Center Capacity,Children,,371,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,998.01,99801,31,27,101,3800,4157720031,1051277,157810,L,40.59955841,-73.75819829,1,rooftop,535,Briar Pl,Far Rockaway,NY,Queens County,11691
1.03E+13,4,QN,414,QUEENS COMMUNITY DISTRICT 14,15772,31,PS 215 LUCRETIA MOTT,535 Briar Pl,11691,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,162,1,Day Care or Head Start Center Capacity,Children,,162,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,998.01,99801,31,27,101,3800,4157720031,1051277,157810,L,40.59955841,-73.75819829,1,rooftop,535,Briar Pl,Far Rockaway,NY,Queens County,11691
1.03E+13,4,QN,412,QUEENS COMMUNITY DISTRICT 12,12993,118,CYNTHIA JENKINS SCHOOL,179-37 137 Ave,11434,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,549,1,Day Care or Head Start Center Capacity,Children,,549,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,352,352,27,29,113,3532,4129930118,1051159,185726,L,40.6761601,-73.75825526,1,rooftop,179-037,137th Ave,Jamaica,NY,Queens County,11434
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13331,1,PS 251,144-51 Arthur St,11413,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,333,1,Day Care or Head Start Center Capacity,Children,,333,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,320,320,31,29,105,3620,4133310001,1050994,181565,L,40.66519906,-73.75962484,1,rooftop,144-051,Arthur St,Springfield Gardens,NY,Queens County,11413
1.03E+13,4,QN,411,QUEENS COMMUNITY DISTRICT 11,7482,317,PS 203 OAKLAND GARDENS,53-11 Springfield Blvd,11364,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,892,1,Day Care or Head Start Center Capacity,Children,,892,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1385.01,138501,23,26,111,2122,4074820317,1050794,213929,L,40.75344604,-73.76005007,1,rooftop,53-011,Springfield Blvd,Oakland Gardens,NY,Queens County,11364
1.03E+13,4,QN,414,QUEENS COMMUNITY DISTRICT 14,15820,1,PS 43,160 Beach 29 St,11691,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,1026,1,Day Care or Head Start Center Capacity,Children,,1022,4,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,998.02,99802,31,27,101,3800,4158200001,1050543,155684,L,40.59461233,-73.76191267,1,range_interpolation,160,Beach 29th St,Far Rockaway,NY,Queens County,11691
